1 	3MINDIA:EQ 	1x 	3x 
2 	AARTIIND:EQ 	1x 	3x 
3 	ABAN:EQ 	1x 	3x 
4 	ABB:EQ 	1x 	3x 
5 	ABFRL:EQ 	1x 	3x 
6 	ABIRLANUVO:EQ 	1x 	14x 
7 	ACC:EQ 	1x 	14x 
8 	ADANIENT:EQ 	1x 	7x 
9 	ADANIPORTS:EQ 	1x 	7x 
10 	ADANIPOWER:EQ 	1x 	11x 
11 	AIAENG:EQ 	1x 	3x 
12 	AJANTPHARM:EQ 	1x 	8x 
13 	AKZOINDIA:EQ 	1x 	3x 
14 	ALBK:EQ 	1x 	14x 
15 	ALKEM:EQ 	1x 	3x 
16 	ALLCARGO:EQ 	1x 	3x 
17 	AMARAJABAT:EQ 	1x 	14x 
18 	AMBUJACEM:EQ 	1x 	14x 
19 	ANDHRABANK:EQ 	1x 	14x 
20 	ANSALAPI:EQ 	1x 	3x 
21 	APLLTD:EQ 	1x 	3x 
22 	APOLLOHOSP:EQ 	1x 	14x 
23 	APOLLOTYRE:EQ 	1x 	14x 
24 	ARVIND:EQ 	1x 	14x 
25 	ASAHIINDIA:EQ 	1x 	3x 
26 	ASHAPURMIN:EQ 	1x 	3x 
27 	ASHOKLEY:EQ 	1x 	14x 
28 	ASIANPAINT:EQ 	1x 	14x 
29 	ASTRAZEN:EQ 	1x 	3x 
30 	ATFL:EQ 	1x 	3x 
31 	ATUL:EQ 	1x 	3x 
32 	AUROPHARMA:EQ 	1x 	7x 
33 	AUTOAXLES:EQ 	1x 	3x 
34 	AUTOIND:EQ 	1x 	3x 
35 	AXISBANK:EQ 	1x 	14x 
36 	BAJAJ-AUTO:EQ 	1x 	14x 
37 	BAJAJCORP:EQ 	1x 	3x 
38 	BAJAJELEC:EQ 	1x 	3x 
39 	BAJAJFINSV:EQ 	1x 	3x 
40 	BAJAJHIND:EQ 	1x 	3x 
41 	BAJAJHLDNG:EQ 	1x 	3x 
42 	BAJFINANCE:EQ 	1x 	7x 
43 	BALKRISIND:EQ 	1x 	3x 
44 	BALRAMCHIN:EQ 	1x 	3x 
45 	BANCOINDIA:EQ 	1x 	3x 
46 	BANKBARODA:EQ 	1x 	14x 
47 	BANKBEES:EQ 	1x 	10x 
48 	BANKINDIA:EQ 	1x 	14x 
49 	BASF:EQ 	1x 	3x 
50 	BATAINDIA:EQ 	1x 	14x 
51 	BEL:EQ 	1x 	9x 
52 	BEML:EQ 	1x 	9x 
53 	BERGEPAINT:EQ 	1x 	3x 
54 	BGRENERGY:EQ 	1x 	3x 
55 	BHARATFIN:EQ 	1x 	8x 
56 	BHARATFORG:EQ 	1x 	14x 
57 	BHARTIARTL:EQ 	1x 	7x 
58 	BHEL:EQ 	1x 	11x 
59 	BIOCON:EQ 	1x 	9x 
60 	BLUEDART:EQ 	1x 	3x 
61 	BOSCHLTD:EQ 	1x 	14x 
62 	BPCL:EQ 	1x 	14x 
63 	BRITANNIA:EQ 	1x 	11x 
64 	BSE:EQ 	1x 	3x 
65 	CADILAHC:EQ 	1x 	9x 
66 	CAIRN:EQ 	1x 	14x 
67 	CANBK:EQ 	1x 	14x 
68 	CASTROLIND:EQ 	1x 	14x 
69 	CEATLTD:EQ 	1x 	14x 
70 	CENTRALBK:EQ 	1x 	3x 
71 	CENTURYPLY:EQ 	1x 	3x 
72 	CENTURYTEX:EQ 	1x 	8x 
73 	CESC:EQ 	1x 	9x 
74 	CHENNPETRO:EQ 	1x 	3x 
75 	CHOLAFIN:EQ 	1x 	3x 
76 	CIPLA:EQ 	1x 	14x 
